entire,campus,number,class_,seperate,major,class_name,prof,time,place
문과대학,서울,SPAN369,0,전공선택,서어서문학과,라틴아메리카작가론(외국어강의),Sebastian Patron Saade,3(3),월(3-4) 서관 314A호 수(3-4) 서관 314A호
문과대학,서울,SPAN371,0,전공선택,서어서문학과,스페인중세문학,백승욱,3(3),화(5) 교양관 413호 목(5) 교양관 413호
문과대학,서울,SPAN375,0,전공선택,서어서문학과,돈키호테론,안영옥,3(3),화(2) 서관 314B호 목(2) 서관 314B호
문과대학,서울,SPAN386,0,전공선택,서어서문학과,스페인어음성음운론(외국어강의),정혜윤,3(3),월(2) 국제관 225호 수(2) 국제관 225호
문과대학,서울,SPAN411,0,전공선택,서어서문학과,스페인문학과신화,전미연,3(3),월(3-4) 교육관 406호 수(3-4) 교육관 406호
문과대학,서울,SPAN415,0,전공선택,서어서문학과,라틴아메리카페미니즘연구,최은경,3(3),화(7-8) 서관 316A호 목(7-8) 서관 316A호
문과대학,서울,HOEW411,0,전공선택,사학과,중세교회와세속문화,홍용진,3(3),화(2) 교육관 201호 목(2) 교육관 201호
문과대학,서울,HOEW417,0,전공선택,사학과,서양의자본주의와제국주의,민경현,3(3),수(1) 법학관구관 B104호 금(1) 법학관구관 B104호
문과대학,서울,HOEW421,0,전공선택,사학과,중국사특강Ⅰ,권인용,3(3),화(2) 교육관 307호 목(2) 교육관 307호
문과대학,서울,HOEW431,0,전공선택,사학과,서양사특강Ⅰ(영강),LEBEDEV SERGEI,3(3),월(6) 사대신관 124호 수(6) 사대신관 124호
문과대학,서울,HOEW451,0,전공선택,사학과,중국사학사,박시현,3(3),화(2) 사대신관 402호 목(2) 사대신관 402호
문과대학,서울,HOEW457,0,전공선택,사학과,내륙아시아와중화세계,권용철,3(3),월(3-4) 법학관신관 209호 수(3-4) 법학관신관 209호
문과대학,서울,FRAN347,0,전공선택,불어불문학과,프랑스어권문학,김보현,3(3),화(1) 서관 224B호 목(1) 서관 224B호
문과대학,서울,FRAN349,0,전공선택,불어불문학과,번역의이해,박선희,3(3),화(3-4) 서관 224A호 목(3-4) 서관 224A호
문과대학,서울,FRAN351,0,전공선택,불어불문학과,프랑스시의이해,김준현,3(3),화(6) 서관 224A호 목(6) 서관 224A호
문과대학,서울,FRAN359,0,전공선택,불어불문학과,프랑스문화산업,조주은,3(3),월(6) 법학도서관 B101호 수(6) 법학도서관 B101호
문과대학,서울,FRAN427,0,전공선택,불어불문학과,프랑스어교과교육론(외국어강의),Simon Kim,3(3),월(2) 교육관 406호 수(2) 교육관 406호
문과대학,서울,FRAN433,0,전공선택,불어불문학과,실용텍스트번역(외국어강의),Jeanmaire Guillaume,3(3),화(1) 서관 314B호 목(1) 서관 314B호
문과대학,서울,FRAN435,0,전공선택,불어불문학과,프랑스문학과비평의흐름,조재룡,3(3),월(2) 서관 224A호 수(2) 서관 224A호
1학년세미나,서울,GEKS005,DI,교양,교양교육원,1학년세미나Ⅰ,권혁준,1(1),미정
1학년세미나,서울,GEKS005,DJ,교양,교양교육원,1학년세미나Ⅰ,조동매,1(1),미정
1학년세미나,서울,GEKS005,DK,교양,교양교육원,1학년세미나Ⅰ,고점복,1(1),미정
1학년세미나,서울,GEKS005,DL,교양,교양교육원,1학년세미나Ⅰ,김준연,1(1),미정
1학년세미나,서울,GEKS005,DM,교양,교양교육원,1학년세미나Ⅰ,김진규,1(1),미정
1학년세미나,서울,GEKS005,DN,교양,교양교육원,1학년세미나Ⅰ,이명현,1(1),미정
1학년세미나,서울,GEKS005,DO,교양,교양교육원,1학년세미나Ⅰ,최정현,1(1),미정
1학년세미나,서울,GEKS005,DP,교양,교양교육원,1학년세미나Ⅰ,김충영,1(1),미정
1학년세미나,서울,GEKS005,DQ,교양,교양교육원,1학년세미나Ⅰ,정병호,1(1),미정
선택교양,서울,HOKA119,6,교양,한국사학과,미래를생각하는한국사,최희준,3(3),월(6) 사대신관 124A호 수(6) 사대신관 124A호
선택교양,서울,HOKA119,7,교양,한국사학과,미래를생각하는한국사,장정수,3(3),월(6) 교육관 308호 수(6) 교육관 308호
선택교양,서울,HOKA119,8,교양,한국사학과,미래를생각하는한국사,김재웅,3(3),화(3-4) 교육관 309호 목(3-4) 교육관 309호
선택교양,서울,HOKA122,0,교양,한국사학과,조선왕조실록의세계,김순남,3(3),화(3-4) 서관 202호 목(3-4) 법학관구관 B102호
선택교양,서울,HOKA153,1,교양,한국사학과,한국사와개혁운동,신진혜,3(3),화(2) 교육관 313호 목(2) 교육관 313호
선택교양,서울,HOKA153,2,교양,한국사학과,한국사와개혁운동,이송순,3(3),화(6) 교양관 104호 목(6) 교양관 104호
선택교양,서울,HOKA154,0,교양,한국사학과,삼국사기와고려사의이해,박윤진,3(3),월(3-4) 교육관 406A호 수(3-4) 교육관 406A호
선택교양,서울,HOKA155,0,교양,한국사학과,한국의신분과사회상,이송순,3(3),화(7-8) 교양관 315호 목(7-8) 교양관 315호
선택교양,서울,IFLS108,1,교양,교양교육원,한국어초급Ⅰ (Recommended for Foreign Graduate students & Exchange/Visiting students),이두용,3(6),월(1) 교양관 314호 화(1) 교양관 314호
선택교양,서울,IFLS108,A1,교양,교양교육원,한국어초급Ⅰ (외국인 학부생반),강민석,3(6),월(7-8) 교양관 203호 화(7-8) 교양관 203호
국제학부,서울,GLKS201,0,전공필수,GKS 융합전공,서울의이해,박은숙,3(3),월(6) 국제관 214호 수(6) 국제관 214호
문과대학,서울,GERM355,0,전공선택,독어독문학과,독일어권역사와민속문화 강의실:SK미래관 504호,나혜심,3(3),화(5) 목(5) 
문과대학,서울,GERM367,0,전공선택,독어독문학과,독일어작문(외국어강의),Christoph Seifener,3(3),화(5) 서관 404호 목(5) 서관 404호
