Column1,Unnamed: 0,entire,campus,number,class_,seperate,major,class_name,prof,time,place,day1,day2,place1,place2,place1_지번,place2_지번
1796,1796,문과대학,서울,SPAN352,0,전공선택,서어서문학과,스페인어교수법(외국어강의),양성혜,3(3),화(6) 교양관 414호 목(6) 교양관 414호,화(6),목(6),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1797,1797,문과대학,서울,SPAN356,0,전공선택,서어서문학과,스페인어권사회의이해,김희순,3(3),월(5) 법학관구관 207호 수(5) 법학관구관 207호,월(5),수(5),법학관구관,법학관구관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1798,1798,문과대학,서울,SPAN361,0,전공선택,서어서문학과,스페인희곡,김선욱,3(3),월(1) 서관 314A호 수(1) 서관 314A호,월(1),수(1),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1799,1799,문과대학,서울,SPAN364,0,전공선택,서어서문학과,스페인문학비평,장재원,3(3),화(6) 국제관 301호 목(6) 서관 223호,화(6),목(6),국제관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1800,1800,문과대학,서울,SPAN369,0,전공선택,서어서문학과,라틴아메리카작가론(외국어강의),Sebastian Patron Saade,3(3),월(3-4) 서관 314A호 수(3-4) 서관 314A호,월(3-4),수(3-4),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1801,1801,문과대학,서울,SPAN371,0,전공선택,서어서문학과,스페인중세문학,백승욱,3(3),화(5) 교양관 413호 목(5) 교양관 413호,화(5),목(5),교양관,교양관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1802,1802,문과대학,서울,SPAN375,0,전공선택,서어서문학과,돈키호테론,안영옥,3(3),화(2) 서관 314B호 목(2) 서관 314B호,화(2),목(2),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1803,1803,문과대학,서울,SPAN386,0,전공선택,서어서문학과,스페인어음성음운론(외국어강의),정혜윤,3(3),월(2) 국제관 225호 수(2) 국제관 225호,월(2),수(2),국제관,국제관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1804,1804,문과대학,서울,SPAN411,0,전공선택,서어서문학과,스페인문학과신화,전미연,3(3),월(3-4) 교육관 406호 수(3-4) 교육관 406호,월(3-4),수(3-4),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1805,1805,문과대학,서울,SPAN415,0,전공선택,서어서문학과,라틴아메리카페미니즘연구,최은경,3(3),화(7-8) 서관 316A호 목(7-8) 서관 316A호,화(7-8),목(7-8),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
