entire,campus,number,class_,seperate,major,class_name,prof,time,place
자유정의진리,서울,GELI001,6E,교양,교양교육원,자유정의진리Ⅰ  ,유재훈,3(3),월(6)  수(6)
자유정의진리,서울,GELI001,6F,교양,교양교육원,자유정의진리Ⅰ  ,유재훈,3(3),월(7-8)  수(7-8)
자유정의진리,서울,GELI001,6G,교양,교양교육원,자유정의진리Ⅰ  ,김민수,3(3),화(1)  목(1)
자유정의진리,서울,GELI001,6H,교양,교양교육원,자유정의진리Ⅰ  ,김민수,3(3),화(2) 교양관 310호 목(2) 교양관 310호
선택교양,서울,IFLS246,01,교양,교양교육원,한국어중급쓰기,부수현,2(3),월(3-4) 교양관 203호 수(3-4) 교양관 203호
선택교양,서울,IFLS246,02,교양,교양교육원,한국어중급쓰기,김지혜,2(3),화(6) 교양관 414호 목(6) 교양관 414호
선택교양,서울,JAPN132,00,교양,일어일문학과,대중문화로보는일본문화론(외국어강의),남유민,3(3),화(7-8) 교양관 405호 목(7-8) 교양관 405호
선택교양,서울,JAPN253,00,교양,일어일문학과,일본어와일본문화(외국어강의),백이연,3(3),화(7-8) 교양관 111호 목(7-8) 교양관 111호
선택교양,서울,KORE107,00,교양,국어국문학과,한국고전의세계,안득용,3(3),금(2-4) 교양관 110호
선택교양,서울,KORE117,00,교양,국어국문학과,비교문학의이해,전성희,3(3),월(1) 교양관 411호 수(1) 교양관 411호
선택교양,서울,KORE119,00,교양,국어국문학과,한국문학과세계문학,박헌호,3(3),월(5) 교양관 202호 수(5) 교양관 202호
선택교양,서울,KORE128,00,교양,국어국문학과,한국근대문학과영화 ※수업시간 변경:금 56→금 678,송효정,3(3),금(6-8) 교양관 411호
선택교양,서울,KORE129,00,교양,국어국문학과,한국민요와대중가요,박인혜,3(3),월(5) 교육관 204호 수(5) 교육관 204호
선택교양,서울,KORE134,00,교양,국어국문학과,아동청소년문학의이해,장수경,3(3),금(2-4) 교양관 303호
정경대학,서울,ECON384,00,전공선택,경제학과,국제금융세미나(영강),강규호,3(3),월(1) 교양관 108호 수(1) 교양관 108호
정경대학,서울,ECON434,00,전공선택,경제학과,한국경제론,강태수,3(3),금(1-2) 정경관 202호
정경대학,서울,ECON437,00,전공선택,경제학과,북한경제론,고명덕,3(3),화(5-6) 교양관 104호
정경대학,서울,ECON450,00,전공선택,경제학과,화폐금융세미나(영강) 신임교원 강의예정,어윤종,3(3),화(1) 정경관 507호 목(1) 정경관 507호
정경대학,서울,ECON457,00,전공선택,경제학과,한국경제세미나,이국헌,3(3),월(6) 정경관 503호 수(6) 정경관 503호
정경대학,서울,ECON460,00,전공선택,경제학과,고급이론세미나(영강),한치록,3(3),금(5-6) 정경관 503호
정경대학,서울,ECON466,00,전공선택,경제학과,경제정책과프로그램효과의실증분석 학부계량경제이수와 기초선형대수이해 필수,이명재,3(3),금(5-6) 정경관 202호
ACADEMIC ENGLISH,서울,IFLS011,66,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Cheryl Faye Magnant,1(2),화(2) 국제관 412호 목(2) 국제관 412호
ACADEMIC ENGLISH,서울,IFLS011,67,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Cheryl Faye Magnant,1(2),화(3) 국제관 412호 목(3) 국제관 412호
ACADEMIC ENGLISH,서울,IFLS011,68,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Darius Goodwin,1(2),화(4) 국제관 217호 목(4) 국제관 217호
ACADEMIC ENGLISH,서울,IFLS011,69,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Russell Mason,1(2),화(5) 국제관 511호 목(5) 국제관 511호
ACADEMIC ENGLISH,서울,IFLS011,70,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/문과대학(사학, 사회학, 심리, 언어, 철학, 한국사학, 한문학) (2020학번 신입생 우선 신청)",Darius Goodwin,1(2),화(2) 국제관 511B호 목(2) 국제관 511B호
ACADEMIC ENGLISH,서울,IFLS011,71,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청) ",Hudson Lim,1(2),월(1) 국제관 212호 수(1) 국제관 212호
ACADEMIC ENGLISH,서울,IFLS011,72,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Hudson Lim,1(2),월(2) 국제관 212호 수(2) 국제관 212호
ACADEMIC ENGLISH,서울,IFLS011,73,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",월쉬널래그첸드라베단,1(2),월(3) 국제관 317호 수(3) 국제관 317호
ACADEMIC ENGLISH,서울,IFLS011,74,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",William du Plessis,1(2),월(4) 국제관 412호 수(4) 국제관 412호
ACADEMIC ENGLISH,서울,IFLS011,76,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Hudson Lim,1(2),수(3-4) 국제관 212호
ACADEMIC ENGLISH,서울,IFLS011,77,교양,국제어학원,"ACADEMIC ENGLISHⅠ(영강) 중급/공과대학, 정보보호학부(2020학번 신입생 우선 신청)",Hudson Lim,1(2),화(1) 국제관 511B호 목(1) 국제관 511B호
1학년세미나,서울,GEKS005,BI,교양,교양교육원,1학년세미나Ⅰ 경영학과,이준만,1(1),미정
1학년세미나,서울,GEKS005,BJ,교양,교양교육원,1학년세미나Ⅰ 경영학과,이한상,1(1),미정
1학년세미나,서울,GEKS005,BK,교양,교양교육원,1학년세미나Ⅰ 경영학과,서용무,1(1),미정
1학년세미나,서울,GEKS005,BL,교양,교양교육원,1학년세미나Ⅰ 경영학과,전재욱,1(1),미정
1학년세미나,서울,GEKS005,BM,교양,교양교육원,1학년세미나Ⅰ 경영학과,정석우,1(1),미정
1학년세미나,서울,GEKS005,BN,교양,교양교육원,1학년세미나Ⅰ 경영학과,정인식,1(1),미정
1학년세미나,서울,GEKS005,BO,교양,교양교육원,1학년세미나Ⅰ 경영학과,정재호,1(1),미정
1학년세미나,서울,GEKS005,BP,교양,교양교육원,1학년세미나Ⅰ 경영학과,정지웅,1(1),미정
1학년세미나,서울,GEKS005,BQ,교양,교양교육원,1학년세미나Ⅰ 경영학과,정창화,1(1),미정
