id,college,campus,code,class_num,seperate,major,class_name,prof,grade,day_place,day_1,place_1,day_2,place_2
1095,ACADEMIC ENGLISH,서울,IFLS011,95,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 중급/공과대학 정보보호학부(2020학번 신입생 우선 신청),William du Plessis,1(2),화(4) 국제관 112호 목(4) 국제관 112호,화(4),국제관,목(4),국제관
1096,자유정의진리,서울,GELI001,7K,교양,교양교육원,자유정의진리Ⅰ  ,최호원,3(3),화(6) 교양관 410호 목(6) 교양관 410호,화(6),교양관,목(6),교양관
1097,자유정의진리,서울,GELI001,7L,교양,교양교육원,자유정의진리Ⅰ  ,백지은,3(3),화(7-8)  목(8),화(7-8),미정,목(8),미정
1098,자유정의진리,서울,GELI001,8G,교양,교양교육원,자유정의진리Ⅰ  ,노요한,3(3),화(1) 교양관 409호 목(1) 교양관 409호,화(1),교양관,목(1),교양관
1099,자유정의진리,서울,GELI001,8H,교양,교양교육원,자유정의진리Ⅰ  ,유준,3(3),화(2) 교양관 404호 목(2) 교양관 404호,화(2),교양관,목(2),교양관
1100,자유정의진리,서울,GELI001,8I,교양,교양교육원,자유정의진리Ⅰ  ,최호빈,3(3),화(3-4)  목(3-4),화(3-4),미정,목(3-4),미정
1101,자유정의진리,서울,GELI001,8J,교양,교양교육원,자유정의진리Ⅰ  ,최호빈,3(3),화(5)  목(5),화(5),미정,목(5),미정
1102,자유정의진리,서울,GELI001,8K,교양,교양교육원,자유정의진리Ⅰ  ,박진영,3(3),화(6) 교양관 311호 목(6) 교양관 311호,화(6),교양관,목(6),교양관
1103,자유정의진리,서울,GELI001,8L,교양,교양교육원,자유정의진리Ⅰ  ,박수정,3(3),화(7-8) 교양관 311호 목(7-8) 교양관 311호,화(7-8),교양관,목(7-8),교양관
1104,전공관련교양,서울,CHEM155,20,교양,이과대학,일반화학실험 바이오의공학부 20학번,전지예,1(3),목(7-9) 이학관별관605,목(7-9),이학관별관,,
1105,전공관련교양,서울,CHEM155,21,교양,이과대학,일반화학실험 바이오의공학부 20학번,이주용,1(3),목(7-9) 이학관별관607,목(7-9),이학관별관,,
1106,전공관련교양,서울,CHEM155,22,교양,이과대학,일반화학실험 재수강반,박준영,1(3),화(5-6) 이학관별관607,화(5-6),이학관별관,,
1107,전공관련교양,서울,CHEM155,23,교양,이과대학,일반화학실험(영강) 외국인반(영강),김영언,1(3),목(5-6) 이학관별관607,목(5-6),이학관별관,,
1108,전공관련교양,서울,CHEM157,1,교양,화학과,일반화학(영강) 의예과(20학번),심상희,2(3),화(5) 아산이학관 331호 목(5) 아산이학관 331호,화(5),아산이학관,목(5),아산이학관
1109,전공관련교양,서울,CHEM157,2,교양,화학과,일반화학 의예과(20학번),한호규,2(3),화(5) 아산이학관 112호 목(5) 아산이학관 112호,화(5),아산이학관,목(5),아산이학관
1110,전공관련교양,서울,COSE101,1,교양,컴퓨터학과,컴퓨터프로그래밍I(영강),허준범,3(3),월(1) 과도관 410호 수(1) 과도관 410호,월(1),과학도서관,수(1),과학도서관
1111,선택교양,서울,KORE155,0,교양,국어국문학과,문학과여성,박영민,3(3),화(3-4) 교양관 103호 목(3-4) 교양관 103호,화(3-4),교양관,목(3-4),교양관
1112,선택교양,서울,KORE156,0,교양,국어국문학과,한국어어문규범의이해와적용,김숙정,3(3),월(3-4) 교양관 411호 수(3-4) 교양관 411호,월(3-4),교양관,수(3-4),교양관
1113,선택교양,서울,KORE157,0,교양,국어국문학과,한국근대문학과도시,최은영,3(3),화(2) 법학관신관 204호 목(2) 법학관신관 204호,화(2),법학관신관,목(2),법학관신관
1114,선택교양,서울,LING101,0,교양,언어학과,언어의이해,정유진,3(3),화(3-4) 교육관 504호 목(3-4) 교육관 504호,화(3-4),운초우선교육관,목(3-4),운초우선교육관
1115,선택교양,서울,PAPP111,0,교양,행정학과,정부와나 * 행정1전공자 수강불가(구 행정학개론),김헌,3(3),화(3-4) 교양관 104호 목(3-4) 교양관 104호,화(3-4),교양관,목(3-4),교양관
1116,선택교양,서울,PAPP120,0,교양,행정학과,창의적기획과문제해결,김영대,3(3),월(3-4) 교양관 104호 수(3-4) 교양관 104호,월(3-4),교양관,수(3-4),교양관
1117,선택교양,서울,PHEK101,1,교양,체육교육과,축구 체육교육과 수강금지/수업장소: 녹지운동장,강방수,1(2),월(1-2),월(1-2),미정,,
1118,선택교양,서울,PHEK101,2,교양,체육교육과,"축구 체육교육과 수강금지/수업장소: 녹지운동장
",강방수,1(2),월(3-4),월(3-4),미정,,
1119,선택교양,서울,PHEK102,1,교양,체육교육과,"호신술 수업장소: 체육생활관(유도장)
",박정호,1(2),화(3-4),화(3-4),미정,,
1120,생명과학대학,서울,LIBT243,0,전공선택,생명공학부,식물생리학,이호정,3(3),월(5) 생명과학관(서관) 437호 수(5) 생명과학관(서관) 437호,월(5),생명과학관서관,수(5),생명과학관서관
1121,생명과학대학,서울,LIBT247,0,전공선택,생명공학부,식물병리학,김기덕,3(3),화(5) 생명과학관(서관) 231호 목(5) 생명과학관(서관) 231호,화(5),생명과학관서관,목(5),생명과학관서관
1122,생명과학대학,서울,LIBT271,1,전공선택,생명공학부,유기화학Ⅰ,지영민,3(3),월(6) 생명과학관(동관)101호 수(6) 생명과학관(동관)101호,월(6),생명과학관동관,수(6),생명과학관동관
1123,생명과학대학,서울,LIBT271,2,전공선택,생명공학부,유기화학Ⅰ,이동호,3(3),월(2) 생명과학관(서관)301호 수(2) 생명과학관(서관)301호,월(2),생명과학관서관,수(2),생명과학관서관
1124,생명과학대학,서울,LIBT271,3,전공선택,생명공학부,유기화학Ⅰ,이일석,3(3),화(6) 생명과학관(서관) 401호 목(6) 생명과학관(서관) 401호,화(6),생명과학관서관,목(6),생명과학관서관
1125,생명과학대학,서울,LIBT271,4,전공선택,생명공학부,유기화학Ⅰ,권진선,3(3),금(6-8) 생명과학관(동관)101호,금(6-8),생명과학관동관,,
1126,사범대학,서울,FADM305,0,전공선택,패션디자인및머천다이징융합전공,패션액세서리디자인,김유로,3(4),화(5-7) 사대신관 323호,화(5-7),사범대학신관,,
1127,사범대학,서울,GEOG171,0,전공선택,지리교육과,야외지리조사I 지리교육과 1학년 필수 답사,김영호,0(0),미정,미정,미정,,
1128,사범대학,서울,GEOG201,0,전공필수,지리교육과,지형학 야외지리조사3 연계,성영배,3(3),월(1) 교육관 304호 수(1) 교육관 304호,월(1),운초우선교육관,수(1),운초우선교육관
1129,사범대학,서울,GEOG207,0,전공필수,지리교육과,한국지리총론,홍금수,3(3),화(5) 교육관 301호 목(5) 교육관 301호,화(5),운초우선교육관,목(5),운초우선교육관
1130,사범대학,서울,GEOG212,0,전공선택,지리교육과,환경지리학(영강) 담당교원변경예정-신임교수,김오석,3(3),화(1) 교육관 303호 목(1) 교육관 303호,화(1),운초우선교육관,목(1),운초우선교육관
1131,사범대학,서울,GEOG213,0,전공선택,지리교육과,농촌지리학,천종호,3(3),월(7-9) 교육관 407호,월(7-9),운초우선교육관,,
1132,사범대학,서울,GEOG271,0,전공선택,지리교육과,야외지리조사III,성영배,0(0),미정,미정,미정,,
1133,사범대학,서울,GEOG301,0,전공선택,지리교육과,계량지리학,김영호,3(3),월(6) 교육관 304호 수(6) 교육관 304호,월(6),운초우선교육관,수(6),운초우선교육관
1134,사범대학,서울,GEOG303,0,전공선택,지리교육과,지리정보론(GIS)(영강),김영호,3(3),수(7-9) 교육관 302호,수(7-9),운초우선교육관,,
1135,사범대학,서울,GEOG305,0,전공필수,지리교육과,문화지리학,홍금수,3(3),화(2) 교육관 201호 목(2) 교육관 201호,화(2),운초우선교육관,목(2),운초우선교육관
1136,사범대학,서울,ELED161,1,전공필수,영어교육과,영어학입문(영강) [신입생만 수강 가능],이상근,3(3),월(5) 교육관 407호 수(5) 교육관 407호,월(5),운초우선교육관,수(5),운초우선교육관
1137,사범대학,서울,ELED161,2,전공필수,영어교육과,영어학입문(영강) [신입생만 수강 가능],최영식,3(3),금(5-6) 교육관 407호,금(5-6),운초우선교육관,,
1138,사범대학,서울,ELED162,1,전공필수,영어교육과,영어청해및회화I(영강) [신입생 1~33],Hye Won Shin Hamilton Chang,3(4),월(3) 교육관 310호 화(3) 교육관 310호,월(3),운초우선교육관,화(3),운초우선교육관
1139,사범대학,서울,ELED162,2,전공필수,영어교육과,영어청해및회화I(영강) [신입생 34~끝],Michael Misner Hamilton Chang,3(4),월(3) 교육관 311호 화(4) 교육관 311호,월(3),운초우선교육관,화(4),운초우선교육관
1140,사범대학,서울,ELED162,3,전공필수,영어교육과,영어청해및회화I(영강),Michael Misner Hamilton Chang,3(4),화(3) 교육관 312호 수(3) 교육관 312호,화(3),운초우선교육관,수(3),운초우선교육관
1141,사범대학,서울,ELED164,0,전공필수,영어교육과,영미문학교육(영강),김필애,3(3),화(6) 교육관 103호 목(6) 교육관 103호,화(6),운초우선교육관,목(6),운초우선교육관
